"","...1","x1","ungulate_latin_name","avg_species_weight_kg","avg_species_shoulder_height_cm","ruminant_non_ruminant","researcher","ungulate_family","ungulate_common_name","binned_season","year_started","year_ended","plant_reported_family","plant_reported_name","percent_contribution_to_diet","data_type","binned_units","binned_method","total_sample_size","binned_total_sample_size_units","latitude_1","longitude_1","latitude_2","longitude_2","reported_study_site_location","country","biome","citation_abrv","latitude_1_decimal","longitude_1_decimal","latitude_2_decimal","longitude_2_decimal","latitude_average","longitude_average","point_type"
"43",5463,5463,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Grewia Bp.",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"44",5464,5464,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Celtis africana",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"45",5465,5465,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Chaetacme aristata",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"46",6461,6461,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Grasses","61.2","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"47",6462,6462,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Sedges and rushes","0.9","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"48",6463,6463,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Heaths","2.8","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"49",6464,6464,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Forbs","27.2","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"50",6465,6465,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Deciduous Browse","2","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"51",6466,6466,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Conifers","2.3","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"52",6467,6467,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Ferns","2","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
